Abbeville, 29.9751, -92.1265
Abbeville, 34.1787, -82.3774
Aberdeen, 35.1345, -79.4314
Aberdeen, 39.5146, -76.1731
Aberdeen, 45.4647, -98.4678
Aberdeen, 46.9768, -123.8083
Abilene, 32.4543, -99.7384
Abilene, 38.9229, -97.2247
Abingdon, 36.7089, -81.9711
Absecon, 39.4221, -74.4941
Acworth, 34.0564, -84.6688
Ada, 34.7683, -96.6689
Ada, 40.7680, -83.8252
Addison, 32.9587, -96.8356
Addison, 41.9314, -88.0086
Adel, 31.1316, -83.4249
Adelanto, 34.5868, -117.4411
Adrian, 41.8994, -84.0447
Agoura Hills, 34.1510, -118.7608
Aiken, 33.5303, -81.7271
Airmont, 41.0994, -74.0989
Airway Heights, 47.6464, -117.5802
Akron, 41.0802, -81.5219
Alabaster, 33.2197, -86.8233
Alameda, 37.7670, -122.2673
Alamo Heights, 29.4828, -98.4681
Alamo, 26.1795, -98.1183
Alamogordo, 32.8834, -105.9627
Alamosa, 37.4755, -105.8770
Albany, 31.5776, -84.1762
Albany, 37.8898, -122.3018
Albany, 42.6664, -73.7987
Albany, 44.6274, -123.0966
Albemarle, 35.3600, -80.1921
Albert Lea, 43.6548, -93.3643
Albertville, 34.2631, -86.2106
Albertville, 45.2365, -93.6617
Albion, 42.2478, -84.7572
Albion, 43.2460, -78.1902
Albuquerque, 35.1055, -106.6476
Alcoa, 35.8071, -83.9748
Aledo, 32.6973, -97.6070
Alexander City, 32.9240, -85.9353
Alexandria, 31.2923, -92.4700
Alexandria, 38.8184, -77.0861
Alexandria, 38.9622, -84.3861
Alexandria, 40.2583, -85.6760
Alexandria, 45.8748, -95.3784
Algona, 43.0743, -94.2302
Algonquin, 42.1629, -88.3158
Alhambra, 34.0840, -118.1355
Alice, 27.7556, -98.0653
Aliquippa, 40.6155, -80.2548
Aliso Viejo, 33.5792, -117.7290
Allegan, 42.5299, -85.8462
Allen Park, 42.2597, -83.2107
Allen, 33.1087, -96.6735
Allendale, 41.0332, -74.1332
Allentown, 40.5962, -75.4756
Alliance, 40.9107, -81.1189
Alliance, 42.1021, -102.8768
Allouez, 44.4720, -88.0261
Alma, 35.4914, -94.2183
Alma, 43.3800, -84.6556
Alpena, 45.0745, -83.4383
Alpharetta, 34.0704, -84.2739
Alpine, 30.3640, -103.6651
Alpine, 40.4621, -111.7728
Alsip, 41.6701, -87.7368
Altamonte Springs, 28.6616, -81.3950
Alton, 26.2887, -98.3105
Alton, 38.9033, -90.1523
Altoona, 40.5084, -78.4010
Altoona, 41.6468, -93.4768
Altoona, 44.8029, -91.4387
Altus, 34.6566, -99.3051
Alva, 36.8011, -98.6679
Alvin, 29.3820, -95.2924
Amarillo, 35.1999, -101.8297
Ambler, 40.1564, -75.2215
Ambridge, 40.5922, -80.2264
American Canyon, 38.1798, -122.2583
American Fork, 40.3815, -111.7935
Americus, 32.0737, -84.2248
Ames, 42.0262, -93.6275
Amherst, 41.4022, -82.2303
Amityville, 40.6696, -73.4156
Ammon, 43.4748, -111.9559
Amory, 33.9813, -88.4823
Amsterdam, 42.9419, -74.1906
Anacortes, 48.4878, -122.6291
Anadarko, 35.0653, -98.2440
Anaheim, 33.8390, -117.8572
Anamosa, 42.1091, -91.2759
Anchorage, 61.1508, -149.1091
Andalusia, 31.3101, -86.4781
Anderson, 34.5210, -82.6477
Anderson, 40.0875, -85.6921
Anderson, 40.4509, -122.2961
Andover, 37.6870, -97.1352
Andover, 45.2571, -93.3264
Andrews, 32.3211, -102.5522
Angier, 35.5069, -78.7395
