Aksu, 41.1500, 80.2500
Altay, 47.8666, 88.1166
Alxa Zuoqi, 38.8390, 105.6686
Anda, 46.4000, 125.3200
Angangxi, 47.1601, 123.8000
Ankang, 32.6800, 109.0200
Anlu, 31.2700, 113.6700
Anqing, 30.5000, 117.0500
Anshan, 41.1150, 122.9400
Anshun, 26.2504, 105.9300
Anxi, 40.5004, 95.8000
Anyang, 36.0800, 114.3500
Arxan, 47.1833, 119.9666
Baicheng, 45.6200, 122.8200
Baiquan, 47.6018, 126.0819
Bairin Zuoqi, 43.9837, 119.1834
Baishan, 41.9000, 126.4300
Baoding, 38.8704, 115.4800
Baoji, 34.3800, 107.1500
Baoshan, 25.1200, 99.1500
Baotou, 40.6522, 109.8220
Bayan Obo, 41.7676, 109.9711
Beian, 48.2390, 126.4820
Beihai, 21.4804, 109.1000
Beijing, 39.9289, 116.3883
Beipiao, 41.8100, 120.7600
Bengbu, 32.9500, 117.3300
Benxi, 41.3304, 123.7500
Boli, 45.7564, 130.5759
Bose, 23.8997, 106.6133
Bugt, 48.7838, 121.9334
Buizhou, 37.3704, 118.0200
Cangzhou, 38.3204, 116.8700
Chamdo, 31.1667, 97.2333
Changchun, 43.8650, 125.3400
Changde, 29.0300, 111.6800
Changling, 44.2700, 123.9900
Changping, 40.2248, 116.1944
Changsha, 28.2000, 112.9700
Changting, 25.8670, 116.3167
Changzhi, 36.1839, 113.1053
Changzhou, 31.7800, 119.9700
Chaoyang, 41.5504, 120.4200
Chaozhou, 23.6800, 116.6300
Chengde, 40.9604, 117.9300
Chengdu, 30.6700, 104.0700
Chenzhou, 25.8004, 113.0301
Chifeng, 42.2700, 118.9500
Chinandega, 12.6304, -87.1300
Chongqing, 29.5650, 106.5950
Chuxiong, 25.0364, 101.5456
Daan, 45.5000, 124.3000
Dali, 25.7000, 100.1800
Dalian, 38.9228, 121.6298
Dandong, 40.1436, 124.3936
Danjiangkou, 32.5200, 111.5000
Daqing, 46.5800, 125.0000
Datong, 40.0800, 113.3000
Dengzhou, 32.6804, 112.0800
Deyang, 31.1333, 104.4000
Dezhou, 37.4504, 116.3000
Dingzhou, 38.5004, 115.0000
